"1","アマランサス　玄穀　","1","3.58","0.127","0.06","0.649","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"2","あわ　精白粒　","1","3.67","0.112","0.044","0.697","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"3","あわ　あわもち　","1","2.14","0.051","0.013","0.453","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"4","えんばく オートミール　","1","3.8","0.137","0.057","0.691","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"5","おおむぎ 七分つき押麦　","1","3.41","0.109","0.021","0.721","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"6","おおむぎ　押麦　","1","3.4","0.062","0.013","0.778","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"7","おおむぎ　米粒麦　","1","3.43","0.07","0.021","0.762","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"8","おおむぎ　大麦めん　乾　","1","3.39","0.129","0.017","0.68","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"9","おおむぎ　大麦めん　ゆで　","1","1.22","0.048","0.006","0.243","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"10","おおむぎ　麦こがし　","1","3.91","0.125","0.05","0.771","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"11","きび　精白粒　　　","1","3.63","0.113","0.033","0.709","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"12","こむぎ　［玄穀］　国産　普通　","1","3.37","0.106","0.031","0.722","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"13","こむぎ　［玄穀］　輸入　軟質　","1","3.48","0.101","0.033","0.752","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"14","こむぎ　［玄穀］　輸入　硬質　","1","3.34","0.13","0.03","0.694","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"15","こむぎ　［小麦粉］　薄力粉　1等　","1","3.67","0.083","0.015","0.758","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"16","こむぎ　［小麦粉］　薄力粉　2等　","1","3.68","0.093","0.019","0.743","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"17","こむぎ　［小麦粉］　中力粉　1等　","1","3.67","0.09","0.016","0.751","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"18","こむぎ　［小麦粉］　中力粉　2等　","1","3.68","0.097","0.018","0.74","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"19","こむぎ　［小麦粉］　強力粉　1等　","1","3.65","0.118","0.015","0.717","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"20","こむぎ　［小麦粉］　強力粉　2等　","1","3.66","0.126","0.017","0.706","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"21","こむぎ　［小麦粉］　強力粉　全粒粉　","1","3.28","0.128","0.029","0.682","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"22","こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　","1","3.52","0.101","0.019","0.736","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"23","こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　","1","3.65","0.078","0.04","0.744","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"24","こむぎ　［小麦粉］　プレミックス粉　から揚げ用　","1","3.31","0.102","0.012","0.7","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"25","こむぎ　［小麦粉］　プレミックス粉　天ぷら用　","1","3.51","0.088","0.013","0.761","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"26","こむぎ　［パン類］　食パン　　","1","2.64","0.093","0.044","0.467","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"27","こむぎ　［パン類］　コッペパン　　","1","2.65","0.085","0.038","0.491","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"28","こむぎ　［パン類］　乾パン　　","1","3.93","0.095","0.044","0.788","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"29","こむぎ　［パン類］　フランスパン　　","1","2.79","0.094","0.013","0.575","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"30","こむぎ　［パン類］　ライ麦パン　　","1","2.64","0.084","0.022","0.527","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"31","こむぎ　［パン類］　ぶどうパン　　","1","2.69","0.082","0.035","0.511","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"32","こむぎ　［パン類］　ロールパン　　","1","3.16","0.101","0.09","0.486","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"33","こむぎ　［パン類］　クロワッサン　　","1","4.48","0.079","0.268","0.439","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"34","こむぎ　［パン類］　イングリッシュマフィン　　","1","2.28","0.081","0.036","0.408","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"35","こむぎ　［パン類］　ナン　　","1","2.62","0.103","0.034","0.476","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"36","こむぎ　［パン類］　ベーグル　　","1","2.75","0.096","0.02","0.546","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"37","こむぎ　［うどん・そうめん類］　うどん　生　","1","2.7","0.061","0.006","0.568","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"38","こむぎ　［うどん・そうめん類］　うどん　ゆで　","1","1.05","0.026","0.004","0.216","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"39","こむぎ　［うどん・そうめん類］　干しうどん　乾　","1","3.48","0.085","0.011","0.719","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"40","こむぎ　［うどん・そうめん類］　干しうどん　ゆで　","1","1.26","0.031","0.005","0.258","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"41","こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　","1","3.56","0.095","0.011","0.727","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"42","こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　","1","1.27","0.035","0.004","0.258","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"43","こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　","1","3.42","0.093","0.015","0.689","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"44","こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　","1","1.27","0.035","0.006","0.255","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"45","こむぎ　［中華めん類］　中華めん　生　","1","2.81","0.086","0.012","0.557","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"46","こむぎ　［中華めん類］　中華めん　ゆで　","1","1.49","0.049","0.006","0.292","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"47","こむぎ　［中華めん類］　蒸し中華めん　　","1","1.98","0.053","0.017","0.384","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"48","こむぎ　［中華めん類］　干し中華めん　乾　","1","3.65","0.105","0.016","0.73","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"49","こむぎ　［中華めん類］　干し中華めん　ゆで　","1","1.4","0.041","0.005","0.281","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"50","こむぎ　［中華めん類］　沖縄そば　生　","1","2.84","0.092","0.02","0.542","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"51","こむぎ　［中華めん類］　沖縄そば　ゆで　","1","1.47","0.052","0.008","0.28","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"52","こむぎ　［中華めん類］　干し沖縄そば　乾　","1","3.51","0.12","0.017","0.678","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"53","こむぎ　［中華めん類］　干し沖縄そば　ゆで　","1","1.48","0.052","0.006","0.286","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"54","こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　","1","4.45","0.101","0.167","0.635","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"55","こむぎ　［即席めん類］　即席中華めん　油揚げ　","1","4.58","0.101","0.191","0.614","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"56","こむぎ　［即席めん類］　即席中華めん　非油揚げ　","1","3.56","0.103","0.052","0.671","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"57","こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　","1","4.48","0.107","0.197","0.569","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"58","こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　","1","4.36","0.084","0.189","0.581","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"59","こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　","1","3.42","0.09","0.064","0.622","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"60","こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　","1","4.51","0.109","0.201","0.566","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"61","こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　","1","3.79","0.122","0.019","0.739","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"62","こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　","1","1.65","0.054","0.009","0.32","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"63","こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　","1","2.47","0.078","0.019","0.469","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"64","こむぎ　［ふ類］　生ふ　　","1","1.63","0.127","0.008","0.262","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"65","こむぎ　［ふ類］　焼きふ　釜焼きふ　","1","3.85","0.285","0.027","0.569","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"66","こむぎ　［ふ類］　焼きふ　板ふ　","1","3.79","0.256","0.033","0.573","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"67","こむぎ　［ふ類］　焼きふ　車ふ　","1","3.87","0.302","0.034","0.542","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"68","こむぎ　［その他］　小麦はいが　　","1","4.26","0.32","0.116","0.483","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"69","こむぎ　［その他］　小麦たんぱく　粉末状　","1","4.37","0.72","0.097","0.106","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"70","こむぎ　［その他］　小麦たんぱく　粒状　","1","1.11","0.2","0.02","0.018","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"71","こむぎ　［その他］　小麦たんぱく　ペースト状　","1","1.59","0.25","0.041","0.039","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"72","こむぎ　［その他］　ぎょうざの皮　　","1","2.91","0.093","0.014","0.57","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"73","こむぎ　［その他］　しゅうまいの皮　　","1","2.95","0.083","0.014","0.589","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"74","こむぎ　［その他］　ピザ生地　","1","2.68","0.091","0.03","0.511","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"75","こむぎ　［その他］　ちくわぶ　　","1","1.71","0.071","0.012","0.311","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"76","こむぎ　［その他］　パン粉　生　","1","2.8","0.11","0.051","0.476","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"77","こむぎ　［その他］　パン粉　半生　","1","3.19","0.125","0.058","0.543","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"78","こむぎ　［その他］　パン粉　乾燥　","1","3.73","0.146","0.068","0.634","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"79","こむぎ　［その他］　冷めん　生　","1","2.52","0.039","0.007","0.576","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"80","こめ　［水稲穀粒］　玄米　　","1","3.53","0.068","0.027","0.743","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"81","こめ　［水稲穀粒］　半つき米　　","1","3.56","0.065","0.018","0.759","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"82","こめ　［水稲穀粒］　七分つき米　　","1","3.59","0.063","0.015","0.766","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"83","こめ　［水稲穀粒］　精白米　うるち米　","1","3.58","0.061","0.009","0.776","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"84","こめ　［水稲穀粒］　精白米　もち米　","1","3.59","0.064","0.012","0.772","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"85","こめ　［水稲穀粒］　精白米　インディカ米　","1","3.69","0.075","0.008","0.791","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"86","こめ　［水稲穀粒］　はいが精米　　","1","3.57","0.065","0.02","0.758","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
"87","こめ　［水稲穀粒］　発芽玄米　　","1","3.56","0.065","0.033","0.743","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
